etykieta_oryginalna;etykieta_przezn;count;grupa_glowna
EE18;EE18;84;I
S5EE1;S5EE1;76;I
EC1;EC1;72;I
S5EG1;S5EG1;70;I
EE15;EE15;66;I
S4EE1;S4EE1;64;I
1E;1E;60;I
EE9;EE9;60;I
1ITE;1ITE;60;I
1IC;1IC;56;I
2IC;2IC;54;I
EE14;EE14;48;I
S6EE1;S6EE1;46;I
EE17;EE17;46;I
EE12;EE12;44;I
S5EE2;S5EE2;36;I
EE11;EE11;30;I
1IT-EE;1IT-EE;30;I
7IT-EE;7IT-EE;28;I
EG1;EG1;28;I
1IT;1IT;26;I
5IT-EE;5IT-EE;16;I
4IT-EE;4IT-EE;16;I
6IT-EE;6IT-EE;16;I
64EE;64EE;16;I
EE10;EE10;16;I
S4EE2;S4EE2;16;I
2IT-EE;2IT-EE;14;I
3IT-EE;3IT-EE;14;I
8IT-EE;8IT-EE;14;I
PU1;PU1;1794;P
PU2;PU2;1322;P
1PU;1PU;1012;P
PU3;PU3;1010;P
PU4;PU4;690;P
P;P;634;P
PU10;PU10;492;P
PU11;PU11;468;P
P2;P2;458;P
S2PR;S2PR;398;P
P3;P3;396;P
PU8;PU8;352;P
S1P1;S1P1;338;P
PU5;PU5;336;P
PU7;PU7;298;P
S6P1;S6P1;234;P
PU9;PU9;216;P
P1;P1;186;P
2PU;2PU;172;P
P8;P8;128;P
1PS;1PS;122;P
PU6;PU6;122;P
P15;P15;112;P
S5P1;S5P1;96;P
P11;P11;94;P
P14;P14;92;P
P16;P16;92;P
P4;P4;90;P
S2P1;S2P1;88;P
P7;P7;84;P
P9;P9;66;P
P6;P6;64;P
S7P1;S7P1;64;P
P12;P12;62;P
P5;P5;58;P
3PU;3PU;56;P
P10;P10;54;P
1PJ;1PJ;48;P
P13;P13;48;P
1P/U;1P/U;44;P
L1;L1;1584;L
L7;L7;720;L
12L20;12L20;712;L
L2;L2;698;L
L12;L12;694;L
LS1;LS1;524;L
L3;L3;520;L
L11;L11;496;L
LS2;LS2;464;L
L5;L5;394;L
L8;L8;320;L
L9;L9;282;L
L6;L6;222;L
L4;L4;198;L
L 25;L 25;196;L
11L20;11L20;178;L
10L20;10L20;172;L
WO1;WO1;846;W
WO2;WO2;810;W
WO6;WO6;586;W
WO3;WO3;426;W
WO4;WO4;378;W
WO5;WO5;228;W
S3W3;S3W3;190;W
1WW;1WW;120;W
S3W1;S3W1;114;W
S2W1;S2W1;100;W
WW1;WW1;80;W
